,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
284,258930,https://www.airbnb.com/rooms/258930,20241104040953,2024-11-04,previous scrape,"Large, Art & Light Filled Apartment Downtown NYC","A sunny loft-style apartment nestled between Chinatown & the Lower East Side.  Blocks away from three different subway stations, and walking distance to SoHo, Little Italy, the Lower East Side, Chinatown and the East Village.  Parks, supermarkets and tons of delicious restaurants and trendy bars nearby.  The apartment itself has one bedroom with a queen bed, a walk-in closet and a spacious live & work space.","The space is in our favorite NYC neighborhood!  We've been here for over nine years and have seen the neighborhood change from a full-on Chinatown to a  vibrant neighborhood full of boutiques, coffee shops, galleries and bars amidst traditional Chinatown locales with amazing food.   A few blocks away from the brand new Essex Crossing with Trader Joe's, Target, the  movie theater and the International Center for Photography. <br /><br /> Our street itself is very quiet and the apartment faces the inside so you will not get any noise from the street.",https://a0.muscache.com/pictures/afe4a0a0-e1a0-44da-a5d5-e7004b78fbd2.jpg,32613,https://www.airbnb.com/users/show/32613,Diana,2009-08-19,"New York, NY","Hello! My husband Epy and I love to travel and would love to share our home while we are out.  

We both work in the advertising industry and love living in New York - we'll happily provide you with recommendations or advice.  

Between us we are fluent in English, Spanish and Italian so send us a message to book our apartment! 
",,,,f,https://a0.muscache.com/im/users/32613/profile_pic/1339683994/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/32613/profile_pic/1339683994/original.jpg?aki_policy=profile_x_medium,Chinatown,1.0,2.0,"['email', 'phone']",t,t,Neighborhood highlights,Chinatown,Manhattan,40.71517,-73.99376,Entire rental unit,Entire home/apt,3,,1 bath,1.0,,"[""Iron"", ""TV"", ""Heating"", ""Long term stays allowed"", ""Smoke alarm"", ""Essentials"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Hangers"", ""Kitchen"", ""Shampoo"", ""Wifi"", ""Hair dryer"", ""Host greets you"", ""Hot water""]",,30,1000,30.0,30.0,1000.0,1000.0,30.0,1000.0,,t,0,0,0,0,2024-11-04,4,0,0,2012-01-02,2013-06-20,4.67,4.0,2.75,4.25,4.75,4.0,4.0,,f,1,1,0,0,0.03
305,271694,https://www.airbnb.com/rooms/271694,20241104040953,2024-11-04,previous scrape,"Easy, comfortable studio in Midtown",,,https://a0.muscache.com/pictures/2730122/18639e09_original.jpg,1387370,https://www.airbnb.com/users/show/1387370,James,2011-11-09,"Greenville, SC",I'm a guy living in NYC.,,,,f,https://a0.muscache.com/im/users/1387370/profile_pic/1321690056/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1387370/profile_pic/1321690056/original.jpg?aki_policy=profile_x_medium,Midtown East,1.0,1.0,"['email', 'phone']",t,f,,Midtown,Manhattan,40.75282,-73.97315,Entire rental unit,Entire home/apt,2,,1 bath,1.0,,"[""Heating"", ""Elevator"", ""Air conditioning"", ""Kitchen"", ""Wifi""]",,365,365,365.0,365.0,365.0,365.0,365.0,365.0,,,0,0,0,0,2024-11-04,19,0,0,2012-02-27,2015-09-08,4.11,4.33,2.95,4.72,4.68,4.89,4.26,,f,1,1,0,0,0.12
1325,2128464,https://www.airbnb.com/rooms/2128464,20241104040953,2024-11-04,previous scrape,Warm & Spacious (not available),"Huge private bedroom with Queen size bed, 2 sleeper sofas, a projector, a swing, 6 windows, 2 desks with 30' Monitors & a hookah pipe. There is also a laid-back common space with 50"" TV & full kitchen. ",An up and coming Spanish neighbourhood with some great food spots and nearby shops. A small park just around the corner and nearby to very trendy parts of Brooklyn's Bushwick art scene. ,https://a0.muscache.com/pictures/28974956/ca2d7c60_original.jpg,10859032,https://www.airbnb.com/users/show/10859032,Garth,2013-12-27,"New York, NY",,,,,f,https://a0.muscache.com/im/pictures/user/5c652d0e-68ec-4ed9-b0c6-2e8b7649c52b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/5c652d0e-68ec-4ed9-b0c6-2e8b7649c52b.jpg?aki_policy=profile_x_medium,Bushwick,1.0,2.0,"['email', 'phone']",t,t,Neighborhood highlights,Bushwick,Brooklyn,40.69322,-73.90572,Private room in rental unit,Private room,3,,1 bath,,,"[""Heating"", ""TV"", ""Smoking allowed"", ""Kitchen"", ""Wifi""]",,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,,,0,0,0,0,2024-11-04,4,0,0,2014-01-03,2014-06-10,4.0,3.75,2.5,4.0,4.75,3.75,4.0,,f,1,0,1,0,0.03
1378,2238300,https://www.airbnb.com/rooms/2238300,20241104040953,2024-11-04,previous scrape,"Peaceful home, friendly area!","Rent our comfortable, affordable apartment in Bushwick/Ridgewood, a fun neighborhood with a safe, welcoming atmosphere. Only minutes to restaurants, bars, galleries and shops and a short walk to the subway station. 20 mins to the East Village.","Bushwick (on the border of Ridgewood) is a diverse, welcoming community. <br /><br />There are bars, restaurants, bookshops, second-hand clothes shops and galleries all within a 5 to 20 minute walk.<br /><br />10 minutes by train to Williamsburg/Greenpoint, and a 20 minute subway ride to Manhattan.<br /><br />Easy bus ride to south Brooklyn.",https://a0.muscache.com/pictures/7c0502b0-36fb-4e56-b11b-4caeba4e2656.jpg,249753,https://www.airbnb.com/users/show/249753,Penny,2010-09-30,"New York, NY",,,,,f,https://a0.muscache.com/im/pictures/user/26178b29-3126-4aae-bf41-ea5723f95854.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/26178b29-3126-4aae-bf41-ea5723f95854.jpg?aki_policy=profile_x_medium,Bushwick,1.0,1.0,"['email', 'phone']",t,t,Neighborhood highlights,Bushwick,Brooklyn,40.70437,-73.91371,Entire rental unit,Entire home/apt,2,,1 bath,2.0,,"[""Heating"", ""TV"", ""Air conditioning"", ""Kitchen"", ""Wifi""]",,30,31,30.0,30.0,31.0,31.0,30.0,31.0,,,0,0,0,0,2024-11-04,1,0,0,2018-01-06,2018-01-06,4.0,4.0,2.0,5.0,5.0,4.0,4.0,,f,1,1,0,0,0.01
1789,3362302,https://www.airbnb.com/rooms/3362302,20241104040953,2024-11-04,previous scrape,TRENDY LOWER EAST SIDE STUDIO,fun - furnished lower east side apt.  close to trains - bus - grocery - dining - nightlife.,"the neighborhood has EVERYTHING!  it is very old, and is one of the only neighborhoods in NY that still has that old NY look and feel to it.  there are no corporate food chains, its all 'mom and pop' shops. everyone is very friendly, and glad to assist.  its amazing!  i love this hood!  <br /><br />there is no need to cook, because you can eat at 100 different great restaurants in the neighborhood!  seriously, there are a ton of wonderful places to eat",https://a0.muscache.com/pictures/51598939/48baca62_original.jpg,16962600,https://www.airbnb.com/users/show/16962600,Debris,2014-06-18,"New York, NY","Hey there - this apt has had only 1 occupant - ME!  i moved into my apt one month after the bldg was renovated in 1998.  the lower east side is just home for me.  its so close to everything.  

currently, i am a designer for a little company.  i have worked in the past as a graphic designer.  i also paint, and have had a few shows in the les.  because space is limited in NY - the paintings have to be on the walls.    so the apt is filled every inch with art!  and i love music, so i have a rather large collection of cds and even tapes to listen to!  old skool style :-)  

i would prefer a long term bnb'er - so that i can take care of my mom who has stage 4 lymphoma cancer, and needs full time care.  i could move, but this little place has been my home for 18 years!  

the great thing about the neighborhood is EVERYTHING!  my favorite place is clinton st. baking company...right down the block.  oh btw...everything is right around the corner or right down the block in the lower east side.  the laundry is right down the block and around the corner...very clean!  and, there are no 'critters' in our building!  its amazing for NY!!! really!  pianos bar is right down the street - alife - abc no rio - tons of varieties of places to eat!  shillers - spitzers - clinton st baking co (again) .  mexican - vegetarian - fusion - what ever you want its here!!! tinys giant sandwich shop!  sunshine bakery - the doughnut plant (AMAZING COFFEE DONUTS!!!)",,,,f,https://a0.muscache.com/im/users/16962600/profile_pic/1410640327/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/16962600/profile_pic/1410640327/original.jpg?aki_policy=profile_x_medium,Lower East Side,1.0,2.0,"['email', 'phone']",t,t,Neighborhood highlights,Lower East Side,Manhattan,40.71841,-73.98596,Entire rental unit,Entire home/apt,2,,1 bath,,,"[""Heating"", ""TV with standard cable"", ""Smoke alarm"", ""Essentials"", ""Air conditioning"", ""Pets allowed"", ""Kitchen"", ""Shampoo""]",,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,,t,0,0,0,0,2024-11-04,4,0,0,2014-11-26,2015-01-30,4.5,4.5,2.75,5.0,5.0,5.0,4.67,,f,1,1,0,0,0.03
2167,4172633,https://www.airbnb.com/rooms/4172633,20241104040953,2024-11-04,previous scrape,Cozy one bedroom apt at the center of Astoria,Welcome to the amazing and vibrant Astoria neighborhood that features second to none Greek food and tasty mid eastern/ Asian food. This sun-drenched south-facing one-bedroom apartment is on the third floor of an apartment complex and has partial city view of Empire State Building. It is quite spacious and only a minute away from the R train steinway station/12 mins from N/W 30th Ave station. 15 minutes to Central Park and 25 mins to grand central. Very close to local restaurants/bars/cafes.,,https://a0.muscache.com/pictures/0f6ed514-2d3e-425c-b513-29a6f2eee17c.jpg,21652004,https://www.airbnb.com/users/show/21652004,June,2014-09-22,"New York, NY","I am June, a working professional that currently resides in New York City. I love to travel and explore new places.",,,,f,https://a0.muscache.com/im/pictures/user/99b4c6b4-fa88-47a6-b0de-61b9086b6384.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/99b4c6b4-fa88-47a6-b0de-61b9086b6384.jpg?aki_policy=profile_x_medium,Astoria,1.0,1.0,"['email', 'phone', 'work_email']",t,t,,Astoria,Queens,40.75824,-73.9202,Entire rental unit,Entire home/apt,4,,1 bath,1.0,,"[""TV with standard cable"", ""Heating"", ""Smoke alarm"", ""Essentials"", ""Air conditioning"", ""Hangers"", ""Kitchen"", ""Shampoo"", ""Wifi"", ""Hair dryer"", ""Iron""]",,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,,,0,0,0,0,2024-11-04,1,0,0,2017-07-03,2017-07-03,4.0,,2.0,,,,,,f,1,1,0,0,0.01
2775,5191617,https://www.airbnb.com/rooms/5191617,20241104040953,2024-11-04,previous scrape,"Cozy Room in Clinton Hill, Bk","This comfortable room has high ceilings, big windows to let in plenty of sunlight, and is just 1 block from the G train - only 20 minutes into Manhattan!<br /><br />The neighborhood is friendly and lovely, with many nice restaurants, parks, and boutiques!","The apartment is in a beautiful and friendly brownstone-filled neighborhood - there are several grocery stores and coffee shops, bars, and restaurants on the block.<br /><br />We are within walking distance of several community gardens and very nice parks, including Fort Greene and Prospect Park.<br /><br />Downtown Brooklyn is about a mile away and has amazing art museums and performance spaces (definitely check out BAM!).",https://a0.muscache.com/pictures/87942870/dab105a6_original.jpg,3977023,https://www.airbnb.com/users/show/3977023,Vaida,2012-10-25,"New York, NY","I study Anthropology at the New School. I am open-minded and friendly. I love
music, traveling, yoga, riding my bike  and reading books.
",,,,f,https://a0.muscache.com/im/users/3977023/profile_pic/1351207272/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/3977023/profile_pic/1351207272/original.jpg?aki_policy=profile_x_medium,Bedford-Stuyvesant,2.0,5.0,"['email', 'phone']",t,t,Neighborhood highlights,Bedford-Stuyvesant,Brooklyn,40.69131,-73.95383,Private room in rental unit,Private room,1,,1 bath,,,"[""Essentials"", ""Wifi"", ""Heating"", ""Kitchen""]",,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,,t,0,0,0,0,2024-11-04,1,0,0,2015-08-31,2015-08-31,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,f,2,0,2,0,0.01
3148,6246681,https://www.airbnb.com/rooms/6246681,20241104040953,2024-11-04,previous scrape,Sun-Drenched Williamsburg Apartment,"We are a warm, ebullient couple looking to rent our apt on a quiet street in the heart of Williamsburg, filled with trendy shops, restaurants, & boutiques. Our home is 650 sq ft. It is spacious, clean, & well-decorated with a beautiful outdoor deck.",,https://a0.muscache.com/pictures/77934749/9d8459b4_original.jpg,27428499,https://www.airbnb.com/users/show/27428499,Allyssa,2015-02-08,"Croton-on-Hudson, NY","Kind, warm, respectful",,,,f,https://a0.muscache.com/im/users/27428499/profile_pic/1423429131/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/27428499/profile_pic/1423429131/original.jpg?aki_policy=profile_x_medium,Williamsburg,1.0,1.0,"['email', 'phone']",t,t,,Williamsburg,Brooklyn,40.71521,-73.93734,Entire rental unit,Entire home/apt,2,,1 bath,1.0,,"[""Heating"", ""TV"", ""Smoke alarm"", ""Essentials"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Kitchen"", ""Wifi""]",,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,,t,0,0,0,0,2024-11-04,1,0,0,2015-09-28,2015-09-28,4.0,4.0,1.0,4.0,5.0,4.0,3.0,,f,1,1,0,0,0.01
3592,6989258,https://www.airbnb.com/rooms/6989258,20241104040953,2024-11-04,previous scrape,Cozy Gem in Harlem Close to ALL!,"Clean, safe and cozy 1 bedroom apartment  in elevated building in East Harlem.  Close to transportation (subway and buses), Central Park, city museums, and eclectic restaurants.  Experience the vibe and culture of NYC living in a great space.",,https://a0.muscache.com/pictures/88600710/b6b86ef3_original.jpg,7339760,https://www.airbnb.com/users/show/7339760,Maritza,2013-07-07,"New York, NY","Greetings. I hope that you will find my listing to be an excellent choice for a home away from home. Airbnb has allowed me to travel and stay in numerous homes throughout Europe, the Caribbean and the United States. As a traveler, I enjoy a vacation that allows me to explore and experience the local vibe. I hope that you find that here in wonderful New York City and in my home.",,,,f,https://a0.muscache.com/im/users/7339760/profile_pic/1435176940/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/7339760/profile_pic/1435176940/original.jpg?aki_policy=profile_x_medium,East Harlem,1.0,1.0,"['email', 'phone']",t,t,,East Harlem,Manhattan,40.79261,-73.93926,Entire rental unit,Entire home/apt,2,,1 bath,1.0,,"[""Heating"", ""TV"", ""Smoke alarm"", ""Elevator"", ""Essentials"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Kitchen"", ""Shampoo"", ""Wifi""]",,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,,t,0,0,0,0,2024-11-04,1,0,0,2015-08-13,2015-08-13,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,f,1,1,0,0,0.01
4020,7761394,https://www.airbnb.com/rooms/7761394,20241104040953,2024-11-04,previous scrape,One room in a 4 Bedroom apt.,"Beautiful brick walls in the apartment! 2 Bathrooms, comfy couches in living room. Short walk to subways. Coffee shops and grocery stores nearby. Roof access with beautiful view of Manhattan.","Bedford Stuyvesant (better known as ""Bed-Stuy"") is a vibrant, historic neighborhood in Brooklyn just 15 minutes on the train from Manhattan or even less from Williamsburg/Downtown Brooklyn.",https://a0.muscache.com/pictures/98704077/5d34563b_original.jpg,40812084,https://www.airbnb.com/users/show/40812084,Chris,2015-08-07,"New York, NY",,,,,f,https://a0.muscache.com/im/users/40812084/profile_pic/1438981270/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/40812084/profile_pic/1438981270/original.jpg?aki_policy=profile_x_medium,Bedford-Stuyvesant,1.0,1.0,"['email', 'phone']",t,t,Neighborhood highlights,Bedford-Stuyvesant,Brooklyn,40.68647,-73.92494,Private room in rental unit,Private room,1,,2 baths,1.0,,"[""Heating"", ""TV"", ""Washer"", ""Smoke alarm"", ""Essentials"", ""Smoking allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Wifi"", ""Dryer""]",,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,,,0,0,0,0,2024-11-04,2,0,0,2015-08-29,2015-09-29,3.5,4.0,2.5,4.0,5.0,4.5,4.0,,f,1,0,1,0,0.02
